trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
729,False,"{'a': 0.001, 'e': 0.745840899281559}",25,0,-110.17839660971016,"{0: 14, 1: 4, 2: 5, 3: 1, 4: 1}",0
730,False,"{'a': 0.001, 'e': 0.7451744023448704}",35,16,-62.48927940232218,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 1}",1
731,False,"{'a': 0.001, 'e': 0.7445071602338416}",25,0,-131.81811947282338,"{0: 16, 1: 1, 2: 5, 3: 1, 4: 2}",0
732,False,"{'a': 0.001, 'e': 0.7438391736157144}",25,0,-62.88209876206731,"{0: 19, 1: 0, 2: 5, 3: 0, 4: 1}",0
733,False,"{'a': 0.001, 'e': 0.7431704431584757}",20,0,-54.10688424611131,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
734,False,"{'a': 0.001, 'e': 0.7425009695308558}",25,0,-88.00993156319946,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 2}",0
735,False,"{'a': 0.001, 'e': 0.7418307534023282}",25,11,-33.331707855634136,"{0: 10, 1: 2, 2: 0, 3: 2, 4: 0}",1
736,False,"{'a': 0.001, 'e': 0.7411597954431091}",30,0,-31.98426555516133,"{0: 22, 1: 4, 2: 4, 3: 0, 4: 0}",0
737,False,"{'a': 0.001, 'e': 0.7404880963241561}",20,0,-22.34848529485894,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
738,False,"{'a': 0.001, 'e': 0.7398156567171686}",20,9,-56.395685465153925,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 1}",1
739,False,"{'a': 0.001, 'e': 0.7391424772945862}",30,12,3.508635113775661,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 0}",1
740,False,"{'a': 0.001, 'e': 0.7384685587295879}",30,0,-40.388118216442386,"{0: 24, 1: 3, 2: 2, 3: 0, 4: 1}",0
741,False,"{'a': 0.001, 'e': 0.7377939016960925}",25,0,-54.16963308297013,"{0: 17, 1: 2, 2: 5, 3: 1, 4: 0}",0
742,False,"{'a': 0.001, 'e': 0.7371185068687569}",25,9,-44.855725785984184,"{0: 11, 1: 2, 2: 1, 3: 2, 4: 0}",1
743,False,"{'a': 0.001, 'e': 0.7364423749229757}",25,0,-0.7940784532317773,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",0
744,False,"{'a': 0.001, 'e': 0.7357655065348812}",25,0,-44.986222857521376,"{0: 18, 1: 1, 2: 6, 3: 0, 4: 0}",0
745,False,"{'a': 0.001, 'e': 0.7350879023813413}",25,0,-29.12993152451351,"{0: 20, 1: 1, 2: 3, 3: 1, 4: 0}",0
746,False,"{'a': 0.001, 'e': 0.7344095631399603}",20,0,-119.17537763646718,"{0: 12, 1: 3, 2: 2, 3: 1, 4: 2}",0
747,False,"{'a': 0.001, 'e': 0.7337304894890774}",20,0,-83.56556183474214,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
748,False,"{'a': 0.001, 'e': 0.7330506821077661}",20,2,-95.18333438708157,"{0: 13, 1: 1, 2: 1, 3: 1, 4: 2}",1
749,False,"{'a': 0.001, 'e': 0.7323701416758338}",20,0,-49.52041689820783,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
750,False,"{'a': 0.001, 'e': 0.7316888688738209}",20,0,-39.321778338498504,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
751,False,"{'a': 0.001, 'e': 0.7310068643830001}",30,18,-22.595738746829714,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
752,False,"{'a': 0.001, 'e': 0.7303241288853758}",20,14,-3.298403247236645,"{0: 4, 1: 2, 2: 0, 3: 0, 4: 0}",1
753,False,"{'a': 0.001, 'e': 0.7296406630636835}",20,0,-145.5891621334743,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 3}",0
754,False,"{'a': 0.001, 'e': 0.7289564676013889}",25,3,-86.54789630509018,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 2}",1
755,False,"{'a': 0.001, 'e': 0.7282715431826874}",30,14,-4.257987904515186,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 0}",1
756,False,"{'a': 0.001, 'e': 0.7275858904925034}",30,16,-45.85984159634537,"{0: 8, 1: 1, 2: 5, 3: 0, 4: 0}",1
